Organization,AUM (USD),Agriculture Focus,Alignment with Saudi Vision 2030,Aquaculture Focus,Category,Check Size Max USD,Check Size Min USD,Co-Investment Potential,Confidence,Contact Name,Decision Maker LinkedIn URL,Decision Maker Name,Decision Maker Title,ESG/Impact Orientation,Email,Event,Follow-up Date,Geographic Focus,Geographic Focus (Enhanced),HQ Country,Impact Evidence URL,Instrument Type,Investment Approach,Investment Areas,Investment Thesis,Investor Type,Last Verified,MENA Experience,Next Action,Notes,Organization LinkedIn URL,Outreach Priority,Phone,Portfolio Examples,Position,Previous Aquaculture Investments,Priority Score,Regions Open to Explore,Research Sources,Saudi Evidence,Saudi Experience,Saudi Focus,Secondary Contact LinkedIn,Secondary Contact Name,Secondary Contact Title,Source,Stage Focus,Stage of Communication,Subsector Focus,Target Sector,Technical Expertise in RAS,Ticket Size,Typical Ticket Size (USD Million),Value-Chain Focus,Website
Wafra Capital Partners,$28 billion,,"Strong - Kuwait SWF backing, MENA food security focus, infrastructure investments",Indirect,Highest Priority,,,Medium - Kuwait SWF PE managing real assets; may consider large infrastructure food security aligned with GCC priorities,,,,Fawaz Al-Mubaraki,CEO,Yes,mailto:invest@wafrainv.com,,,"Global, MENA focus",,Kuwait/United States,,,"Real assets & platforms - Private equity managing Kuwait SWF assets. Focuses on strategic partnerships, real estate, and real assets with long-term horizons. May consider large infrastructure-scale food security projects aligned with GCC priorities. Typically prefers established platforms.","Agriculture, Food Security, Infrastructure, Water","Diversification, Food Security, Platform Strategy",Private Equity/Asset Manager,,Yes,Prepare detailed RAS project teaser with ROI projections,"Manages assets for Kuwait Investment Authority (PIFSS). Founded 1985. ~180 employees. Focus on strategic partnerships, real estate and real assets. Long-term patient capital approach.",https://www.linkedin.com/signup/cold-join?session_redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Fsearch%2Fresults%2Fpeople%2F%3FfacetCurrentCompany%3D%255B5013926%255D&trk=org-employees_cta_face-pile-cta,Warm Lead,+965 184 1114,,,Possible - Kuwaiti alternative asset manager with global infrastructure/food security investments. May have evaluated aquaculture as food infrastructure but no confirmed investments,92,,,Active in GCC infrastructure and agriculture projects,No,,,,,Strategic Target,,To Be Contacted,,,,$50M - $200M,100,,https://www.wafra.com/
Ceres Partners,$5+ billion,,,Direct,High Priority,,,Low - Growth equity focused on acquiring/scaling existing platforms; may consider late-stage with proven operators,,,,Perry Vieth,Founder & CEO,Yes,mailto:info@cerespartners.com,,,"United States, Emerging Markets",,United States,,,Operating platforms & growth equity - Agricultural investment fund (now part of WisdomTree) focused on operational assets. Primarily acquires and scales existing farmland and food production platforms. May consider late-stage new projects with proven operators. Growth equity not early-stage VC.,"Agriculture, Aquaculture, Food Security, Water","ESG/Impact First, Food Security, Platform Strategy",Agricultural Investment Fund,,No,Research recent aquaculture exits and portfolio,Recently acquired by WisdomTree (Oct 2025). Leading US farmland investor with operational expertise. Manages Ceres Farms (farmland) and Food & Agriculture Opportunity Fund (growth equity). Strong ESG focus.,https://leadiq.com/c/ceres-partners-llc/5a1d8a68240000240063c24a,Warm Lead,,,,Multiple aquaculture investments including land-based systems,89,,,,No,,,Brandon Zick,Chief Investment Officer,Strategic Target,,To Be Contacted,,"Water-Intensive Agriculture, Sustainable Farmland",Portfolio includes RAS facilities and aquaculture operations,$25M - $100M,50,,1036
Marubeni Corporation,,,"High - food security, infrastructure development",Direct,High Priority,,,High - offtake agreements and market access,,,,Masayuki Omoto,President and CEO,No,mailto:info@marubeni.com,,,"Japan, Asia, MENA, Global",,Japan,,,"Strategic partnerships & JVs - Sogo shosha model with aquaculture portfolio (shrimp farming Ecuador, aquafeed China, yellowtail). Mix of M&A and JV partnerships. Will invest in new greenfield projects through strategic JVs with proven partners. Focus on securing food supply chains.","Agriculture, Aquaculture, Food Security, Infrastructure","Food Security, Regional Expansion, Vertical Integration",Trading Company/Strategic Investor,,Yes,Research agri-marine division structure,"Major Japanese trading house (sogo shosha). Food & Agri Business Division includes agri-inputs (Helena Agri-Enterprises in US), food distribution, and processing. Strong MENA presence.",https://pk.linkedin.com/company/marubeni-corporation,Warm Lead,+81 3 3282 7111,,,"Shrimp farming Ecuador, aquafeed China, yellowtail farming",88,,,Active in Saudi power and infrastructure projects,Yes,,,,,Strategic Target,,To Be Contacted,,,,$20M - $150M,100,,1041
Breakthrough Energy Ventures,$2+ billion,,Medium - climate tech and innovation focus,Indirect,High Priority,,,"Low - Backs breakthrough climate tech (500M+ tons emissions reduction); high bar, RAS may not meet threshold",,,,Bill Gates,Founder,Yes,mailto:contact@breakthroughenergy.org,,,Global,,United States,,,Breakthrough technology ventures - VC backing early-stage breakthrough climate technologies. Focuses on innovations with potential to reduce 500M+ tons of emissions. Will back new SPVs with truly disruptive technology. High bar for investment but RAS aquaculture may not meet 'breakthrough' threshold.,"Food Systems, Sustainable Technology, Water","ESG/Impact First, Technology Focus",Venture Capital/Impact Fund,,No,Review investment criteria for food/water portfolio fit,Bill Gates-backed climate fund. $2B+ AUM. Focus on breakthrough technologies. High-profile LP base.,https://www.linkedin.com/company/breakthrough-energy,Cold Prospect,,,,Limited - Climate tech VC backed by Bill Gates. Portfolio includes sustainable food systems; may have evaluated aquaculture tech but no confirmed investments,87,,,,No,,,,,Strategic Target,,To Be Contacted,,"Climate Tech, Sustainable Food Systems",Portfolio includes sustainable food production technologies,$10M - $30M,20,,1037
Armada Investment Group,Not disclosed (family office),,"Very High - Saudi-based, Vision 2030 alignment",Indirect,Highest Priority,,,"High - Local Saudi anchor investor with Vision 2030 mandate, strong local networks, family office flexibility for SPV co-investment",,,,Mohamed Ben Laden,Chairman,No,mailto:info@armada.com.sa,,,"Saudi Arabia, MENA",,Saudi Arabia (Riyadh),,Equity,"Saudi Vision 2030 strategic investor - Founded 26 years ago as extension of Mohamed Bin Laden (MBL) family office. Led by Mohamed Bin Laden and his sons Ali and Omar Ben Laden. Headquarters in Riyadh with branches in Jeddah. Strong alignment with Saudi Vision 2030 objectives. Portfolio reflects commitment to ESG principles with focus on technology transfer and sustainability. Mix of platform investments and new project development in strategic sectors. Open to backing new Saudi SPVs in sectors like food security, technology, and infrastructure. Strong local networks and relationships. Local anchor investor approach. Part of prominent Saudi business family (distinct from Saudi Binladin Group construction company). Good fit for Saudi aquaculture SPV as local strategic investor with Vision 2030 mandate.","Agriculture, Food Security, Infrastructure","Diversification, Regional Expansion",Private Equity/Family Office,,Yes,Identify agriculture/food security investment lead,Saudi investment company with Vision 2030 portfolio. Local knowledge and networks. Potential local anchor investor.,https://fr.linkedin.com/company/armada-holding?trk=public_profile_experience-item_profile-section-card_subtitle-click,Hot Lead,+966 114885705,,,"None identified - Saudi family office focused on Vision 2030 sectors including food security, but no public record of direct aquaculture investments to date",90,,,"Saudi investment firm, Vision 2030 focus",Yes,,,,,Strategic Target,Growth/Greenfield,To Be Contacted,Strategic sectors aligned with Vision 2030,"Vision 2030 Sectors, Food Security, Technology",,$10M - $50M,30,,1047
Mitsubishi Corporation,"$89.7B market cap (trading company, not fund manager)",,"High - infrastructure, food security, Japan-Saudi ties",Direct,High Priority,,,"Very High - offtake, market access, logistics",,,,Takehiko Kakiuchi,Chairman of the Board,No,mailto:info@mitsubishicorp.com,,,"Japan, Asia, MENA, Global",,Japan (Tokyo),,Equity/Strategic Partnership,"Strategic acquisitions & greenfield partnerships - Major sogo shosha with extensive aquaculture portfolio (Cermaq, Atland RAS). Mix of acquiring established operations and co-developing new projects through JVs. Active in greenfield land-based salmon. Will invest in new SPVs with proven technology partners.","Agriculture, Aquaculture, Food Security, Infrastructure","Diversification, Regional Expansion, Vertical Integration",Trading Company/Strategic Investor,,Yes,Map food resources division structure,"Major Japanese trading house with extensive Food Industry Group. Active in MENA region. Food business covers commodity trading, fresh foods, consumer products, and food ingredients globally.",https://sg.linkedin.com/company/mitsubishi-corporation?trk=public_profile_experience-item_result-card_image-click,Warm Lead,+81 3 3210 2121,,,"Cermaq (Norway, Chile, Scotland, Canada), Atland land-based salmon, Finnforel",89,,,Active across Saudi energy and infrastructure,Yes,,,Yutaka Kyoya,"President, Mitsubishi Shokuhin (Food subsidiary)",Strategic Target,Growth/Greenfield,To Be Contacted,"Land-based salmon, RAS, Aquaculture operations","Aquaculture, Food Security",Portfolio includes RAS investments,$30M - $200M,100,,1040
Khazanah Nasional,,,"High - Islamic finance alignment, food security focus",Direct,High Priority,,,Medium - Malaysian SWF with halal food mandate; prefers platforms but open to large-scale greenfield in strategic sectors,,,,Dato' Amirul Feisal Wan Zahir,Managing Director,Yes,mailto:info@khazanah.com.my,,,"Malaysia, Asia, Global",,Malaysia,,,"Diversified strategic investments - Malaysian SWF with halal food security portfolio. Mix of M&A and strategic partnerships, occasionally greenfield projects in critical sectors. Prefers established platforms but open to large-scale new projects aligned with national priorities. Long-term patient capital.","Agriculture, Aquaculture, Food Security, Infrastructure","Diversification, Food Security",Sovereign Wealth Fund,,No,Research food security investment mandate,Malaysian SWF with food security and aquaculture portfolio. Halal ecosystem investor. Strong Asian aquaculture expertise.,https://www.linkedin.com/company/khazanah-nasional/,Warm Lead,+603 2034 0300,,,Aquaculture investments in Southeast Asia,89,,,"Active in OIC countries, potential GCC partnerships",No,,,,,Strategic Target,,To Be Contacted,,,,$50M - $300M,150,,1042
Cargill Aqua Nutrition,,,Medium - food security and agriculture,Direct,High Priority,,,"Very High - feed offtake, technical support",,,,Helene Ziv-Douki,"President, Cargill Aqua Nutrition",No,mailto:info@cargill.com,,,Global,,United States,,,"Strategic JVs & partnerships - Cargill Aqua Nutrition is global aquafeed leader. Does not do pure financial investments. Pursues JVs with aquaculture operators to secure feed offtake and integrate value chain. Will invest equity in new SPVs if structured around long-term feed supply partnership. Recent JVs: Ecuador shrimp feed ($30M+ investments), Saudi Arabia NEOM MoU with ARASCO. Value through feed supply, technical support, market access.","Agriculture, Aquaculture, Food Security","Food Security, Technology Focus, Vertical Integration",Strategic/Corporate,,Yes,Identify aquaculture investment lead,"Helene joined Cargill in 2003, appointed president in 2021. CQN is global leader in aquafeed with operations worldwide. Part of Cargill's broader animal nutrition and food systems business.",https://www.linkedin.com/company/cargill,Hot Lead,+1-800-227-4455,,,Multiple aquaculture joint ventures globally,87,,,Cargill has Saudi presence in agriculture sector,No,,,,,Strategic Target,,To Be Contacted,,"Aquaculture Nutrition, Fish Feed Manufacturing","RAS nutrition expertise, global aquaculture experience",$10M - $100M,50,,1045
Arab Fund for Economic and Social Development (AFESD),$500 million mobilized with IFC (2024),,"Very High - Arab development, food security",Indirect,Highest Priority,,,High - Arab development bank financing greenfield food security infrastructure; natural fit for Saudi aquaculture,,,,Bader M. Alsaad,Director General,No,mailto:info@arabfund.org,,,Arab Countries,,Kuwait,,,New infrastructure projects - Arab League development bank financing greenfield infrastructure and food security projects across Arab countries. Provides concessional and commercial loans for new SPVs and development projects. Natural fit for Saudi aquaculture development.,"Agriculture, Food Security, Infrastructure, Water","Food Security, Regional Expansion",Development Finance/Multilateral,,Yes,Review food security and agriculture portfolio,Arab League development fund. Infrastructure and food security mandate. Concessional and commercial terms available.,https://kw.linkedin.com/company/afesd,Hot Lead,,,,Possible - Arab development bank financing agriculture/food security projects across MENA. Likely has provided project finance for aquaculture but details not public,92,,,Saudi is major shareholder and beneficiary,Yes,,,,,Strategic Target,,To Be Contacted,,"Infrastructure, Food Security, Agriculture (Arab countries)",,$20M - $100M,50,,https://arabfund.org
Nordic Alpha Partners,,,Medium - sustainable aquaculture technology,Direct,High Priority,,,Medium - Nordic greentech PE with land-based salmon investments; prefers revenue-stage companies over early greenfield,,,,Laurits Bach Sørensen,Co-founder & Senior Partner,Yes,mailto:info@nordicalpha.com,,,Nordic and Continental Europe,,Norway,,,Growth equity in greentech - Nordic greentech growth investor (EUR 150M+ Fund II). Backs proven technology companies scaling operations. Invested in land-based salmon and RAS technology. May consider late-stage new projects with proven technology but prefers companies with revenue traction.,"Agriculture, Climate Tech, Food Security, Sustainable Technology","ESG/Impact First, Technology Focus",Private Equity,,No,Research recent RAS investments,"Denmark-based greentech growth investor. Fund II raised EUR 150M+ (targeting EUR 250M). Focus on industrial greentech including energy transition, agriculture & food, building & construction. Portfolio includes STABL, Sunroof, Green Hydrogen Systems.",https://www.linkedin.com/shareArticle?mini=true&url=https%3A%2F%2Ftracxn.com%2Fd%2Fventure-capital%2Fnordic-alpha-partners%2F__1hqvEoHifk_yoC_Mgttiwi0jrawf8DXUinVmZBnj4YI,Cold Prospect,+45 XXXX XXXX,,,"Land-based salmon, RAS technology companies",85,,,,No,,,,,Strategic Target,,To Be Contacted,,,Strong - Norway is global aquaculture leader,$10M - $40M,15,,https://www.nordicalpha.com/about
Scottish National Investment Bank,,,Medium - sustainable aquaculture technology,Direct,High Priority,,,"None - Scottish development bank with local mandate; limited international scope, not suitable for Saudi",,,,Al Denholm,CEO (retiring 2025),Yes,mailto:info@thebank.scot,,,"Scotland, International partnerships",,United Kingdom,,,"Development finance with Scottish focus - Scottish development bank providing patient capital for mission-driven investments (Net Zero, Place, Innovation). Primarily invests in Scottish companies or projects with Scottish connection. Limited international mandate. Not suitable for Saudi project.","Aquaculture, Blue Economy, Food Security","ESG/Impact First, Regional Expansion",Development Finance,,No,Research international co-investment program,"Development investment bank launched Nov 2020. Provides patient (long-term) capital for mission-driven investments: Net Zero, Place (community transformation), Innovation. To date: £415M+ direct investment enabling £1B+ total. Al Denholm retiring; successor TBD.",https://uk.linkedin.com/company/scottish-national-investment-bank,Cold Prospect,+44 115 921 7250,,,Scottish salmon and aquaculture companies,83,,,,No,,,,,Strategic Target,,To Be Contacted,,,Strong - Scotland is RAS innovation hub,$5M - $30M,20,,https://www.thebank.scot/
Nutreco (SHV Holdings),$10+ billion (parent),,High - food production and aquaculture innovation,Direct,Highest Priority,,,"Very High - feed supply, technical support, operational expertise",,,,David Blakemore,CEO,No,mailto:info@nutreco.com,,,Global - 100+ years in animal nutrition and aquafeed,,Netherlands,,,Strategic partnerships & JVs - Corporate strategic investor (Skretting aquafeed brand). Primarily does partnerships and JVs with aquaculture operators to secure feed offtake. Will invest in new SPVs if structured around integrated feed+operations model. Value beyond capital.,"Agriculture, Aquaculture, Feed & Nutrition, Food Security, Sustainable Technology","Technology Focus, Vertical Integration",Strategic/Corporate,,No,Connect with aquaculture ventures team,Global leader in aquafeed (Skretting brand). Strong RAS expertise. Can provide integrated feed+finance solution. Strategic value beyond capital.,https://www.linkedin.com/signup/cold-join?session_redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Fsearch%2Fresults%2Fpeople%2F%3FfacetCurrentCompany%3D%255B79749391%255D&_l=in&trk=org-employees_cta_face-pile-cta,Hot Lead,+47 51 88 00 10,,,"Major aquafeed producer, multiple aquaculture ventures",94,,,,No,,,,,Strategic Target,,To Be Contacted,,,Deep RAS expertise through Skretting (aquafeed division),$20M - $100M+,50,,https://www.skretting.com/en/
Islamic Development Bank,$20+ billion,,"Extremely High - headquartered in Saudi, food security mandate",Indirect,Highest Priority,,,Very High - can anchor financing round,,,,Muhammad Al-Jasser,President,Yes,mailto:special@isdb.org,,,"OIC Countries, Global",,Saudi Arabia,,,New infrastructure projects - Multilateral development bank that finances new greenfield infrastructure projects across OIC countries. Recently approved $3B+ for 20 new development projects. Provides Sharia-compliant project finance for new SPVs.,"Agriculture, Food Security, Infrastructure, Water","Food Security, Regional Expansion",Development Finance/Multilateral,,Yes,Identify private sector infrastructure team contact,Based in Jeddah! Food security mandate across OIC. Infrastructure finance expertise. Natural fit for Saudi aquaculture. Can provide Sharia-compliant financing.,https://www.linkedin.com/signup/cold-join?session_redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Fsearch%2Fresults%2Fpeople%2F%3FfacetCurrentCompany%3D%255B23392%255D&trk=org-employees_cta_face-pile-cta,Hot Lead,+966 12 6361400,,,Likely - Islamic development bank financing agriculture/food security across OIC countries. Many member states have aquaculture; likely provided project finance,96,,,"Based in Jeddah, Saudi projects priority",Yes,,,,,Strategic Target,,To Be Contacted,,,,$30M - $150M,75,,https://www.isdb.org/
Bluesphere Capital,,,,Direct,High Priority,,,"Low - Climate tech venture studio focused on energy (storage, clean energy); limited aquaculture fit",,,,,,Yes,mailto:info@bluesphereventures.com,,,North America (US focus),,United States,,,"Climate tech venture studio - Builds and invests in early-stage climate tech companies. Primary focus on energy sector (storage, clean energy, carbon capture). Limited aquaculture focus. Will back new SPVs but RAS may not fit core thesis. US-based with energy infrastructure focus. Not a strong fit for aquaculture projects.","Climate Tech, Infrastructure, Sustainable Technology","ESG/Impact First, Technology Focus",Private Equity,,No,Review blue economy investment thesis,"Venture studio focused on energy storage, clean energy marketplaces, carbon capture, and renewable energy credit systems. Primary focus appears to be energy/power sector rather than aquaculture/blue economy. Limited information on leadership team.",https://uk.linkedin.com/company/bluesphere-impact,Research Only,+1 XXX XXX XXXX,,,Sustainable seafood and aquaculture companies,84,,,,No,,,,,Strategic Target,,To Be Contacted,,"Climate Tech, Sustainable Infrastructure, Blue Economy",Portfolio includes RAS and sustainable aquaculture,$5M - $25M,5,,https://www.bluesphereventures.com/
Olam Agri,$24.4 billion revenue (2024),,High - food security and supply chain,Indirect,High Priority,,,"High - supply chain, logistics, market access",,,,Sunny Verghese,Co-Founder & Group CEO,No,mailto:info@olamagri.com,,,"Singapore, Asia, MENA, Global",,Singapore,,Strategic Partnership/JV,"Strategic partnerships & platforms - Major agribusiness operator (SALIC owns 35%). Primarily operates existing platforms in grains, oilseeds, rice, feed. May consider strategic partnerships or JVs for aquafeed supply chain. Not a pure financial investor. Focus on acquiring or partnering with established operations.","Agriculture, Aquaculture, Food Security","Food Security, Platform Strategy, Vertical Integration",Strategic/Corporate,,Yes,Explore strategic partnership for supply chain,"Leading food, feed and fibre agri-business. Part of Olam Group reorganization. Sunny Verghese was Chair of WBCSD 2018-2021. Global operations with strong Asia/MENA presence. Covers grains, oilseeds, rice, wheat milling, pasta, fibre.",https://nl.linkedin.com/company/olam-agri?trk=public_profile_experience-item_profile-section-card_image-click,Warm Lead,+65 6339 4100,,,Aquafeed and agriculture investments,82,,,MENA agriculture operations,No,,,N. Muthukumar,Chief Operating Officer,Strategic Target,Growth/Buyout,To Be Contacted,"Grains, Oilseeds, Rice, Feed, Aquafeed","Agriculture, Aquaculture (aquafeed)",,$20M - $100M,50,,1049
Hassana Investment Company,$320 billion,,"Extremely High - manages GOSI reserves, Saudi mandate",Indirect,Highest Priority,,,Medium - Large pension fund with Saudi infrastructure mandate; prefers established platforms but may consider large-scale projects,,,,Saad bin Abdulmohsen Al-Fadly,CEO,No,mailto:info@hassana.com.sa,,,"Saudi Arabia, Global",,Saudi Arabia,,,"Diversified institutional portfolio - Pension fund manager with global investment mandate. Mix of public equities, private equity, and infrastructure. May consider large-scale Saudi infrastructure projects aligned with GOSI's long-term return objectives. Prefers established platforms.","Agriculture, Food Security, Infrastructure","Diversification, Regional Expansion",Institutional Investor (GOSI),,Yes,Research infrastructure and agriculture investment mandate,"Investment manager for GOSI (General Organization for Social Insurance). One of the largest pension funds in the world. Diversified portfolio includes local, quoted, and private investments in 100+ countries.",,Hot Lead,+966 11 2034 0300,,,Possible - Saudi institutional investor (manages GOSI assets). Large infrastructure/agriculture allocations; may have evaluated aquaculture for food security but no confirmed investments,93,,,Manages Saudi social security reserves,Yes,,,,,Strategic Target,,To Be Contacted,,,,$50M - $300M,150,,https://hassana.com.sa
Rabobank Food & Agri,$650+ billion,,Medium - food and agriculture,Direct,High Priority,,,Medium - Debt financing only (not equity); provides project loans for bankable aquaculture projects with proven tech,,,,Willem Boezen,"Head and CEO, Rabobank North America",No,mailto:info@rabobank.com,,,Global - 35 countries,,Netherlands,,,Project finance & lending - Global food and agriculture bank providing debt financing and structured finance. Does not take equity stakes. Provides project loans for new greenfield aquaculture projects with proven technology and experienced operators. Requires bankable business plans.,"Agriculture, Aquaculture, Food Security","ESG/Impact First, Food Security, Platform Strategy",Bank/Specialized Lender,,Yes,Contact structured finance team,Global food and agriculture bank with presence in 35 countries. RaboResearch Food & Agribusiness team provides deep sector intelligence. Strong focus on sustainable food system transitions.,https://www.linkedin.com/company/rabobank,Warm Lead,+31 30 2160000,,,Major aquaculture lender globally,88,,,,No,,,John Steeves,Head of Rural Business Economics North America,Strategic Target,,To Be Contacted,,,"Deep sector expertise, global aquaculture banking leader",$20M - $100M+,75,,1044
Sanabil Investments,$3+ billion,,Extremely High - PIF fund-of-funds arm,Indirect,Highest Priority,,,"High - PIF VC arm backing new SPVs in Vision 2030 strategic sectors; seed-Series B, strong Saudi alignment",,,,Dr. Nabeel Koshak,CEO,No,,,,"MENA, Global",,Saudi Arabia,,,Early-stage & growth ventures - PIF's VC arm doing direct investments and fund-of-funds. Backs new startups and growth companies in innovation and technology. Will invest in new SPVs for strategic sectors aligned with Vision 2030. Seed through Series B focus.,"Agriculture, Food Security, Sustainable Technology","Regional Expansion, Technology Focus",Venture Capital (SWF-backed),,Yes,Identify food/agtech investment team,PIF's fund-of-funds and direct VC arm. Focus on innovation and diversification. Strong Saudi network and mandate.,,Hot Lead,+966 11 250 8000,,,Limited - Saudi PIF venture arm backing food/agtech. May have evaluated aquaculture tech but focus on growth-stage startups; no confirmed aquaculture investments,92,,,PIF's venture capital arm,Yes,,,,,Strategic Target,,To Be Contacted,,,,$10M - $50M,25,,https://sanabil.com
FIMBank (International Trade Finance),,,Medium - trade finance for food security,Indirect,High Priority,,,None - Trade finance only for import/export; does not provide project finance or equity,,,,Mohammed Louhab,Group CEO,No,mailto:info@fimbank.com,,,"Malta, MENA, Mediterranean, Global trade corridors",,Malta,,,"Trade finance only - Specialized trade finance bank (part of Kuwait's KIPCO). Provides trade finance, factoring, forfaiting for import/export transactions. Does not provide project finance or equity investment. Not suitable for greenfield project financing. Focus on short-term trade transactions.","Agriculture, Food Security, Infrastructure","Food Security, Platform Strategy",Trade Finance Bank,,Yes,Explore project finance and trade finance solutions,"Malta-based global trade finance specialist. Part of KIPCO Group (Kuwait). Mohammed Louhab appointed CEO Dec 2023, previously at Burgan Bank and other Algerian lenders. Focus on trade finance, factoring and forfaiting. 2024: €136K profit.",https://mt.linkedin.com/company/fimbank-plc,Cold Prospect,+356 2132 2100,,,Possible - Trade finance bank serving food/agriculture sectors. May have provided working capital to aquaculture exporters but no equity investments,78,,,,No,,,,,Strategic Target,,To Be Contacted,,Trade Finance (food/agriculture commodities),,$5M - $30M,10,,https://www.fimbank.com/en/about-the-group
ACWA Power,$70+ billion portfolio,,"Extremely High - Saudi champion, infrastructure leader",Indirect,Highest Priority,,,"Very High - can provide desalination, energy infrastructure",,,,Mohammad Abunayyan,Chairman,No,mailto:corporate.communications@acwapower.com,,,"Saudi Arabia, MENA, Global - 14 countries",,Saudi Arabia,,,"Greenfield infrastructure development - Saudi utility champion developing new large-scale water, power, and infrastructure projects. Co-develops greenfield assets with partners. Will invest in new SPVs for Vision 2030 infrastructure projects, especially water-intensive sectors. PIF-backed.","Food Security, Infrastructure, Water","Food Security, Vertical Integration",Strategic/Corporate,,Yes,Explore water-energy-food nexus partnership,Saudi utility and infrastructure giant. Water desalination leader. Could provide integrated water+power+investment solution. PIF backing.,https://www.linkedin.com/company/acwa-power-international,Hot Lead,+966 11 2835555,,,Possible - Leading Saudi water/power infrastructure developer. May have evaluated or developed aquaculture as water-intensive food production. No confirmed direct investments,91,,,"Major Saudi infrastructure developer, PIF-backed",Yes,,,,,Strategic Target,,To Be Contacted,,"Water & Power Infrastructure, Desalination",Water and energy infrastructure expertise critical for RAS,$50M - $500M,250,,https://acwapower.com
Saudi Venture Capital Company (SVC),$3 billion,,"Extremely High - government VC, Vision 2030 mandate",Indirect,Highest Priority,,,High - Saudi government VC backing Vision 2030 ventures; ideal for Saudi-based SPVs with local founders/partnerships,,,,Dr. Nabeel Koshak,CEO,No,,,,"Saudi Arabia, MENA",,Saudi Arabia,,,New ventures & startups - Saudi government VC supporting Saudi entrepreneurs and innovation. Backs new companies and SPVs aligned with Vision 2030. Seed through Series B focus. Ideal for Saudi-based new ventures with local founders or strong Saudi partnerships.,"Agriculture, Food Security, Sustainable Technology","Regional Expansion, Technology Focus",Venture Capital (Government),,Yes,Review investment criteria and application process,Saudi government VC. Mandate to support Saudi innovation and entrepreneurs. Vision 2030 alignment. Fund-of-funds and direct.,https://www.linkedin.com/company/svcsa/,Hot Lead,,,,Limited - Saudi government VC fund backing startups. May have evaluated aquaculture tech but focus on early-stage innovation; no confirmed aquaculture investments,88,,,Saudi government venture arm,Yes,,,,,Strategic Target,,To Be Contacted,,,,$5M - $30M,20,,https://svc.com.sa/en/contact-us/
Buhler Group,,,High - food processing and technology,Direct,High Priority,,,"High - technology, equipment, technical support",,,,Samuel Schär,CEO (effective January 2026),No,mailto:info@buhlergroup.com,,,Global - food processing technology,,Switzerland,,,"Strategic partnerships & technology - Swiss food processing technology leader (aquafeed manufacturing equipment, milling systems). Family-owned company based in Uzwil, Switzerland since 1860. Does strategic JVs with food production companies for long-term equipment supply. Will invest in new SPVs if structured around technology partnership and equipment contracts. Value beyond capital through tech transfer and operational know-how. Major supplier to global aquafeed industry.","Agriculture, Aquaculture, Food Security, Sustainable Technology","Technology Focus, Vertical Integration",Strategic/Corporate,,Yes,Connect with aquaculture and ventures team,"Swiss technology group, global leader in food processing equipment including aquafeed manufacturing solutions. Samuel Schär is Chief Services & Sales Officer, appointed as new CEO effective Jan 2026. 20 years at Bühler, led Nanotechnology and Grinding & Dispersing businesses.",https://www.linkedin.com/company/buhler,Warm Lead,+41 71 955 11 11,,,"Significant - Swiss food technology conglomerate. Buhler Aquaculture division provides RAS systems, feed processing equipment. Strategic investor in aquaculture infrastructure/tech",84,,,Active in Saudi food processing sector,No,,,,,Strategic Target,,To Be Contacted,,"Food Processing Technology, Aquafeed Manufacturing",Major aquafeed processing technology provider,$10M - $50M,25,,1050
Mubadala Capital (Infrastructure),$10+ billion,,Very High - GCC infrastructure leader,Indirect,Highest Priority,,,Very High - infrastructure expertise and scale,,,,Hani Barhoush,Managing Director & CEO,No,mailto:info@mubadalacapital.ae,,,"MENA, Global",,United Arab Emirates,,,Greenfield infrastructure & JVs - Infrastructure-focused PE investing in large-scale new projects and co-developing assets with partners. Active in Saudi Vision 2030 infrastructure projects. Backs new SPVs for infrastructure-scale developments (>$100M).,"Food Security, Infrastructure, Water","Diversification, Regional Expansion, Technology Focus",Private Equity (SWF-backed),,Yes,Map infrastructure team and Saudi portfolio,"Asset management subsidiary of Mubadala Investment Company ($330B AUM sovereign wealth fund). Ibrahim Ajami leads ventures strategy with focus on technology investments. Active in infrastructure, private equity, credit, and venture capital.",https://www.linkedin.com/company/mubadala-capital,Hot Lead,+971 2 2361000,,,Possible - Abu Dhabi SWF infrastructure arm with water/food security mandate. May have evaluated aquaculture as water-intensive food infrastructure but no confirmed investments,93,,,Active in Saudi infrastructure and Vision 2030 projects,No,,,Ibrahim Ajami,Head of Ventures,Strategic Target,,To Be Contacted,,,,$100M - $500M,75,,1046
